STAR SSPOC MASK RA DEC SFFI TEFF f_TEFF NABUN f_NABUN MASS f_MASS LOGL f_LOGL VMIC f_VMIC LOGG f_LOGG DIST f_DIST TIC f_TIC W1mag W2mag W3mag W4mag e_W1mag e_W2mag e_W3mag e_W4mag Bmag/APASS Vmag/APASS e_Bmag/APASS e_Vmag/APASS gpmag e_gpmag rpmag e_rpmag ipmag e_ipmag B1 B2 A C D E e_B1 e_B2 e_A e_C e_D e_E Vmag/Merm91 B-V U-B e_Vmag/Merm91 e_B-V e_U-B Bmag/Merm91 e_Bmag/Merm91 Umag e_Umag S09 S18 e_S09 e_S18 BPmag Gmag RPmag e_BPmag e_Gmag e_RPmag Fnu_12 e_Fnu_12 Fnu_25 e_Fnu_25 Fnu_60 e_Fnu_60 Fnu_100 e_Fnu_100 Bmag/NOMAD05 Vmag/NOMAD05 Rmag Jmag Hmag Kmag e_Jmag e_Hmag e_Kmag
HD91619 63;64 0.1 158.35579166666668 -58.190147222222215 10;36;37 13100.0 2 8.36 2 31.0 2 "" "" 18.0 2 1.7 2 2069.21274932546 -1 457803940 -1 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" -9.985 -5.391 0.9006 0.6252 -0.3939 -1.253 "" "" 4.2 10.7 "" "" 6.14 0.359 -0.423 0.022 0.019 0.019 6.499 0.029068883707497266 6.076 0.03472751070837068 0.8039 0.1923 0.0111 0.0927 6.194659 5.97309 5.539029 0.004745 0.002997 0.005003 "" "" "" "" "" "" "" "" 6.432 6.15 5.97 5.113 4.985 4.814 0.065 0.051 0.021
HD92964 10;36;37;63;64 0.15 160.66904166666663 -59.21575833333333 "" 18000.0 1 8.6 2 30.0 2 5.67 1 11.0 1 2.2 1 3912.03338775595 -1 458704469 -1 4.406 4.07 4.0 2.051 0.308 0.165 0.015 0.046 "" "" "" "" "" "" "" "" "" "" -9.316 -5.03 1.432 1.054 0.7485 3.346 "" "" 4.1 7.4 8.2 13.4 5.38 0.256 -0.662 0.01 0.014 0.015 5.636 0.017204650534085254 4.974 0.022825424421026655 3.995 "" 0.327 "" 5.424638 5.271519 4.962901 0.005523 0.003477 0.007162 "" "" "" "" "" "" "" "" 5.587 5.395 5.29 4.673 4.438 4.506 0.214 0.23 0.018
HD93840 "" 0.1 162.2862083333333 -46.77828611111111 36;37;63 20900.0 2 8.37 2 23.0 2 "" "" 15.0 2 2.75 2 3113.58320734864 -1 147215618 -1 7.909 7.937 7.934 7.697 0.026 0.02 0.018 0.14 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.761 -0.048 -0.786 0.013 0.008 0.187 7.713 0.015264337522473748 6.927 0.18762196033513773 "" "" "" "" 7.704531 7.754928 7.780412 0.002961 0.002793 0.003867 "" "" "" "" "" "" "" "" 7.724 7.786 7.83 7.884 7.907 7.93 0.024 0.023 0.02
HD94367 "" 0.15 163.1285 -57.240405555555554 10;36;37 "" "" "" "" "" "" "" "" "" "" "" "" 2751.43707327623 -1 459637433 -1 4.525 4.333 4.47 4.274 0.265 0.056 0.015 0.026 "" "" "" "" "" "" "" "" "" "" -12.23 -6.602 1.06 -0.6116 -0.4642 -1.357 "" "" 4.2 "" "" "" 5.253 0.157 -0.514 0.013 0.02 0.073 5.41 0.023853720883753128 4.896 0.0767984374841051 0.9446 0.2438 0.00709 0.0158 5.273752 5.175163 4.961876 0.004538 0.003081 0.00535 "" "" "" "" "" "" "" "" 5.384 5.272 5.21 4.914 4.803 4.63 0.208 0.076 0.02
HD94493 "" 0.1 163.31291666666664 -60.81477777777778 10;11;63;64 23500.0 2 8.02 2 24.0 2 "" "" 14.0 2 2.95 2 1771.64373536079 -1 465384125 -1 7.142 7.229 7.176 6.874 0.038 0.02 0.02 0.076 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.252 0.011 -0.846 0.023 0.012 0.015 7.263 0.025942243542145693 6.417 0.02996664812754339 "" "" "" "" 7.216548 7.228429 7.179961 0.002955 0.002805 0.004203 "" "" "" "" "" "" "" "" 7.254 7.285 7.32 7.185 7.246 7.214 0.019 0.055 0.033
HD96248 "" 0.15 166.23987499999998 -59.85890277777778 10;11;63;64 19500.0 2 7.48 2 29.0 2 "" "" 15.0 2 2.4 2 3089.80598669915 -1 305919188 -1 5.822 5.656 5.625 5.211 0.119 0.048 0.015 0.036 "" "" "" "" "" "" "" "" "" "" -10.94 -5.905 0.3052 -0.6018 -0.4315 -1.372 "" "" 4.7 "" "" "" 6.554 0.183 -0.727 0.005 0.033 0.019 6.737 0.03337663853655728 6.01 0.038405728739343045 0.3535 "" 0.0224 "" 6.600458 6.492306 6.230981 0.004776 0.003002 0.007521 "" "" "" "" "" "" "" "" 6.727 6.575 6.49 6.073 6.007 5.923 0.019 0.046 0.024
HD96919 10;11;37;38;64 0.15 167.14162499999998 -61.947174999999994 "" "" "" "" "" "" "" "" "" "" "" "" "" 2125.718784847 -1 466911307 -1 4.203 3.92 4.077 3.842 0.313 0.139 0.015 0.026 "" "" "" "" "" "" "" "" "" "" -11.03 -5.954 1.35 -0.5726 -0.4502 -1.262 "" "" 4.2 "" "" "" 5.144 0.225 -0.447 0.018 0.02 0.019 5.369 0.02690724809414742 4.922 0.03293933818400121 1.266 0.3238 0.0155 0.0182 5.186373 5.038038 4.759222 0.005697 0.003235 0.006547 "" "" "" "" "" "" "" "" 5.318 5.144 5.03 4.575 4.392 4.311 0.2 0.248 0.031
HD99857 "" 0.09 172.11329166666667 -66.489275 10;11;37;38;64 21500.0 2 7.2 2 18.0 2 "" "" 16.0 2 2.95 2 2187.84797605029 -1 296059122 -1 7.051 7.119 7.116 6.953 0.046 0.021 0.016 0.059 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 7.474 0.126 -0.723 0.049 0.026 0.051 7.6000000000000005 0.05547071299343465 6.877000000000001 0.07535250493513801 0.09565 "" 0.00765 "" 7.460271 7.41678 7.268294 0.003025 0.002794 0.003978 "" "" "" "" "" "" "" "" 7.556 7.488 7.45 7.152 7.17 7.078 0.019 0.046 0.036
HD99953 37;38;64 0.08 172.31316666666663 -63.553936111111106 10;11 19000.0 1 8.43 2 32.0 2 4.87 1 18.0 1 2.3 1 3383.13444666175 -1 317046099 -1 5.32 5.088 5.145 4.828 0.155 0.074 0.015 0.049 "" "" "" "" "" "" "" "" "" "" -11.57 -6.248 0.5055 1.112 -0.4502 -1.299 "" "" 4.5 48.1 "" "" 6.455 0.316 -0.617 0.033 0.007 0.015 6.771 0.033734255586866005 6.154 0.03691882988394947 0.4667 "" 0.00692 "" 6.527798 6.348462 5.985101 0.004966 0.003051 0.005398 "" "" "" "" "" "" "" "" 6.706 6.478 6.34 5.607 5.47 5.414 0.02 0.038 0.027
HD101545 "" 0.1 175.15416666666664 -62.5681 10;11;37;38 "" "" "" "" "" "" "" "" "" "" "" "" 2477.07964545998 -1 321165740 -1 6.199 6.144 6.296 6.205 0.092 0.026 0.017 0.055 "" "" "" "" "" "" "" "" "" "" -9.863 -5.325 0.1686 -0.5121 -0.4027 -1.129 "" "" 6.0 "" "" "" "" "" "" "" "" "" "" "" "" "" 0.1948 "" 0.0102 "" 6.791554 6.817245 6.742362 0.00363 0.002809 0.00748 "" "" "" "" "" "" "" "" 6.835 6.872 6.89 6.286 6.316 6.314 0.023 0.036 0.026
